athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
4372545,Max,Wright,Max Wright,Max Wright,260,76,TE,4,51,1,185,15
4372573,Jaylan,Franklin,Jaylan Franklin,Jaylan Franklin,240,77,TE,4,46,0,70,5
4372741,McCallan,Castles,McCallan Castles,McCallan Castles,252,77,TE,4,43,4,265,21
4373566,Miller,Gibbs,Miller Gibbs,Miller Gibbs,245,76,TE,4,26,0,74,6
4373634,Dallin,Holker,Dallin Holker,Dallin Holker,235,77,TE,3,42,6,767,64
4373682,Riley,Smith,Riley Smith,Riley Smith,236,77,TE,4,32,1,118,10
4373687,Tyneil,Hopper,Tyneil Hopper,Tyneil Hopper,245,75,TE,4,13,1,24,2
4373746,Cameron,Johnson,Cameron Johnson,Cameron Johnson,238,76,TE,4,15,0,53,6
4374184,Shelton,Zeon III,Shelton Zeon III,Shelton Zeon III,250,76,TE,4,12,0,44,5
4374507,Cole,Cavallo,Cole Cavallo,Cole Cavallo,232,74,TE,4,17,0,96,9
4376298,Jack,Whyte,Jack Whyte,Jack Whyte,235,74,TE,4,15,0,47,5
4379394,Matthew,Brown,Matthew Brown,Matthew Brown,235,74,TE,4,4,0,7,2
4379394,Matthew,Brown,Matthew Brown,Matthew Brown,235,74,TE,4,4,0,7,2
4382479,Trenton,Gillison,Trenton Gillison,Trenton Gillison,245,77,TE,4,20,0,123,13
4382482,Parks,Gissinger,Parks Gissinger,Parks Gissinger,240,76,TE,4,7,0,9,3
4384171,Tanner,McLachlan,Tanner McLachlan,Tanner McLachlan,245,77,TE,4,36,4,500,42
4384259,Marshel,Martin,Marshel Martin,Marshel Martin,210,74,TE,4,39,2,315,36
4384593,Alex,Allen,Alex Allen,Alex Allen,253,78,TE,4,32,1,148,13
4384593,Alex,Allen,Alex Allen,Alex Allen,253,78,TE,4,32,1,148,13
4384593,Alex,Allen,Alex Allen,Alex Allen,253,78,TE,4,32,1,148,13
4401904,Ajay,Belanger,Ajay Belanger,Ajay Belanger,245,75,TE,4,31,4,190,17
4402090,Riley,Sharp,Riley Sharp,Riley Sharp,248,78,TE,4,28,2,96,6
4426364,Baylor,Cupp,Baylor Cupp,Baylor Cupp,260,78,TE,4,19,2,114,11
4426367,Austin,Stogner,Austin Stogner,Austin Stogner,255,78,TE,4,35,1,196,17
