"","athlete_id","first_name","last_name","full_name","display_name","weight","height","position_abbreviation","experience_years","rushing_long_rushing","rushing_rushing_attempts","rushing_rushing_touchdowns","rushing_rushing_yards","receiving_receiving_touchdowns","receiving_receiving_yards","receiving_receptions"
"130","4427971","Dontae","McMillan","Dontae McMillan","Dontae McMillan",195,70,"RB",4,18,6,1,24,0,12,1
"131","4428018","Delbert","Mimms III","Delbert Mimms III","Delbert Mimms III",215,71,"RB",3,18,92,8,269,0,23,3
"132","4428030","Jalen","Mitchell","Jalen Mitchell","Jalen Mitchell",210,70,"RB",4,23,22,0,72,0,41,6
"133","4428074","Jonathan","Mulatu","Jonathan Mulatu","Jonathan Mulatu",205,72,"RB",4,18,41,1,192,0,131,20
"134","4428143","Sone","Ntoh","Sone Ntoh","Sone Ntoh",235,71,"RB",4,92,56,14,411,0,54,4
"135","4428177","Nick","Ostmo","Nick Ostmo","Nick Ostmo",218,72,"RB",4,64,114,8,594,0,181,19
"136","4428180","LaDarius","Owens","LaDarius Owens","LaDarius Owens",186,69,"RB",4,77,204,11,1399,0,110,11
"137","4428200","Cross","Patton","Cross Patton","Cross Patton",155,66,"RB",4,8,13,0,34,0,0,3
"138","4428211","Nathaniel","Peat","Nathaniel Peat","Nathaniel Peat",206,70,"RB",4,19,76,3,317,1,81,6
"139","4428263","Trey","Potts","Trey Potts","Trey Potts",218,69,"RB",4,28,23,2,145,1,57,4
"140","4428272","Juwaun","Price","Juwaun Price","Juwaun Price",208,70,"RB",3,22,47,0,166,0,38,3
"141","4428272","Juwaun","Price","Juwaun Price","Juwaun Price",208,70,"RB",3,22,47,0,166,0,38,3
"142","4428320","Courtney","Reese","Courtney Reese","Courtney Reese",165,68,"RB",4,32,59,4,233,0,11,4
"143","4428320","Courtney","Reese","Courtney Reese","Courtney Reese",165,68,"RB",4,32,59,4,233,0,11,4
"144","4428438","Edward","Saydee","Edward Saydee","Edward Saydee",215,71,"RB",4,21,68,0,230,2,164,18
"145","4428517","Savon","Smith","Savon Smith","Savon Smith",200,69,"RB",4,36,153,8,704,1,198,41
"146","4428538","Tye","Smith-Lindsey","Tye Smith-Lindsey","Tye Smith-Lindsey",180,67,"RB",4,9,6,0,20,0,5,2
"147","4428606","Jacquez","Stuart","Jacquez Stuart","Jacquez Stuart",178,69,"RB",3,24,101,5,475,1,139,11
"148","4428606","Jacquez","Stuart","Jacquez Stuart","Jacquez Stuart",178,69,"RB",3,24,101,5,475,1,139,11
"149","4428732","Sean","Tyler","Sean Tyler","Sean Tyler",185,68,"RB",4,19,61,0,242,0,5,4
"150","4428754","Charlie","Vincent","Charlie Vincent","Charlie Vincent",200,70,"RB",3,22,9,1,48,0,11,2
"151","4428783","Treshaun","Ward","Treshaun Ward","Treshaun Ward",194,70,"RB",4,52,124,5,643,2,129,17
"152","4428803","Jordan","Waters","Jordan Waters","Jordan Waters",219,72,"RB",4,83,142,12,753,0,130,7
"153","4428806","Quincy","Watson","Quincy Watson","Quincy Watson",190,70,"RB",4,23,59,1,261,0,51,5
"154","4428904","Antavious","Willis","Antavious Willis","Antavious Willis",180,70,"RB",3,12,6,0,28,0,41,3
"155","4428915","Lee","Witherspoon","Lee Witherspoon","Lee Witherspoon",205,71,"RB",3,17,17,0,52,0,37,6
"156","4428915","Lee","Witherspoon","Lee Witherspoon","Lee Witherspoon",205,71,"RB",3,17,17,0,52,0,37,6
"157","4428943","Jacardia","Wright","Jacardia Wright","Jacardia Wright",220,72,"RB",3,45,147,6,696,1,271,17
"158","4429001","Jase","McClellan","Jase McClellan","Jase McClellan",212,71,"RB",4,29,166,6,803,0,126,13
"159","4429002","Demarkcus","Bowman","Demarkcus Bowman","Demarkcus Bowman",193,70,"RB",3,12,10,1,62,0,7,2
"160","4429012","Kendall","Milton","Kendall Milton","Kendall Milton",220,73,"RB",4,51,112,12,686,0,25,4
"161","4429023","MarShawn","Lloyd","MarShawn Lloyd","MarShawn Lloyd",210,69,"RB",3,56,116,9,820,0,232,13
"162","4429043","Jaylan","Knighton","Jaylan Knighton","Jaylan Knighton",185,70,"RB",4,95,128,7,720,0,70,9
"163","4429059","Jo'Quavious","Marks","Jo'Quavious Marks","Jo'Quavious Marks",210,70,"RB",4,52,121,4,573,2,167,23
"164","4429072","Lawrance","Toafili","Lawrance Toafili","Lawrance Toafili",188,72,"RB",3,73,69,4,463,1,186,21
"165","4429077","Keyvone","Lee","Keyvone Lee","Keyvone Lee",225,72,"RB",3,33,12,0,75,0,0,0
"166","4429083","Darius","Boone Jr.","Darius Boone Jr.","Darius Boone Jr.",202,72,"RB",3,29,51,0,177,0,53,6
"167","4429096","Blake","Corum","Blake Corum","Blake Corum",213,68,"RB",4,54,218,24,1028,0,82,14
"168","4429121","Kalel","Mullings","Kalel Mullings","Kalel Mullings",239,74,"RB",4,23,32,1,195,0,13,1
"169","4429129","Mike","Drennen II","Mike Drennen II","Mike Drennen II",190,71,"RB",3,8,7,1,28,0,16,2
"170","4429129","Mike","Drennen II","Mike Drennen II","Mike Drennen II",190,71,"RB",3,8,7,1,28,0,16,2
"171","4429186","Sam","Adams II","Sam Adams II","Sam Adams II",207,74,"RB",2,11,10,1,23,0,16,2
"172","4429212","Rashad","Amos","Rashad Amos","Rashad Amos",234,74,"RB",2,66,177,12,895,0,35,5
"173","4429227","Jaylon","Armstead","Jaylon Armstead","Jaylon Armstead",215,71,"RB",3,48,103,8,448,0,16,3
"174","4429227","Jaylon","Armstead","Jaylon Armstead","Jaylon Armstead",215,71,"RB",3,48,103,8,448,0,16,3
"175","4429259","CJ","Beasley","CJ Beasley","CJ Beasley",215,70,"RB",3,21,68,2,262,0,151,15
"176","4429275","Trey","Benson","Trey Benson","Trey Benson",223,73,"RB",3,85,156,14,905,1,227,20
"177","4429287","Peny","Boone","Peny Boone","Peny Boone",242,73,"RB",3,71,194,15,1400,1,219,15
"178","4429299","Tahj","Brooks","Tahj Brooks","Tahj Brooks",230,70,"RB",4,46,268,9,1443,0,72,24
"179","4429316","DeCarlos","Brooks","DeCarlos Brooks","DeCarlos Brooks",220,70,"RB",3,21,48,3,259,0,47,7
"180","4429384","Jordan","Castleberry","Jordan Castleberry","Jordan Castleberry",185,68,"RB",3,30,50,0,206,0,29,4
"181","4429384","Jordan","Castleberry","Jordan Castleberry","Jordan Castleberry",185,68,"RB",3,30,50,0,206,0,29,4
"182","4429410","Sevaughn","Clark","Sevaughn Clark","Sevaughn Clark",215,73,"RB",4,16,6,1,31,0,0,0
"183","4429439","Quinton","Cooley","Quinton Cooley","Quinton Cooley",210,67,"RB",3,60,213,16,1322,0,45,5
"184","4429454","Ron","Cook Jr.","Ron Cook Jr.","Ron Cook Jr.",190,69,"RB",4,36,148,6,609,1,220,29
"185","4429501","Ray","Davis","Ray Davis","Ray Davis",216,70,"RB",4,75,186,13,1066,7,317,29
"186","4429505","Kelvin","Dean","Kelvin Dean","Kelvin Dean",200,72,"RB",4,49,70,3,366,1,49,8
"187","4429520","Justin","Dinka","Justin Dinka","Justin Dinka",195,71,"RB",3,41,120,4,518,1,138,10
"188","4429520","Justin","Dinka","Justin Dinka","Justin Dinka",195,71,"RB",3,41,120,4,518,1,138,10
"189","4429610","Daijun","Edwards","Daijun Edwards","Daijun Edwards",201,70,"RB",4,62,157,11,819,0,169,19
"190","4429618","Justice","Ellison","Justice Ellison","Justice Ellison",209,70,"RB",3,51,120,1,548,0,61,10
"191","4429652","Pat","Garwo III","Pat Garwo III","Pat Garwo III",210,69,"RB",4,50,52,1,270,0,19,4
"192","4429691","Malik","Grant","Malik Grant","Malik Grant",200,69,"RB",4,32,177,4,724,0,89,10
"193","4429709","Jam","Griffin","Jam Griffin","Jam Griffin",210,69,"RB",4,14,7,0,39,0,0,0
"194","4429805","Frank","Gore Jr.","Frank Gore Jr.","Frank Gore Jr.",195,68,"RB",3,75,231,10,1131,3,221,27
"195","4429835","George","Holani","George Holani","George Holani",210,71,"RB",4,75,117,5,610,0,154,16
"196","4429922","Jaedon","Henry","Jaedon Henry","Jaedon Henry",200,72,"RB",4,23,112,2,395,0,115,22
"197","4429939","Jawhar","Jordan","Jawhar Jordan","Jawhar Jordan",185,70,"RB",3,74,181,13,1128,1,246,21
"198","4429971","Ryan","Ingram","Ryan Ingram","Ryan Ingram",210,71,"RB",4,82,156,6,837,0,11,4
"199","4429976","Micah","Kelly","Micah Kelly","Micah Kelly",203,69,"RB",3,3,5,0,6,0,5,1
"200","4430049","Shedro","Louis","Shedro Louis","Shedro Louis",170,68,"RB",4,16,34,0,101,0,35,4
