athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
4363154,Cecil,Singleton Jr.,Cecil Singleton Jr.,Cecil Singleton Jr.,210,74,DB,1,0,43,74,1
4363411,Xavier,Lanier,Xavier Lanier,Xavier Lanier,192,74,DB,4,0,9,15,0
4363417,Jaylen,Key,Jaylen Key,Jaylen Key,210,74,S,1,0,31,56,1
4363530,T-Mac,Simpson,T-Mac Simpson,T-Mac Simpson,190,71,S,0,0,5,8,0
4364531,Tre,Weed,Tre Weed,Tre Weed,190,72,DB,0,0,3,9,0
4364631,Nash,Fouch,Nash Fouch,Nash Fouch,207,74,S,5,0,23,45,1
4364634,Garrett,Graves,Garrett Graves,Garrett Graves,210,75,S,2,0,17,26,0
4365312,Jabari,Johnson,Jabari Johnson,Jabari Johnson,200,73,DB,0,0,1,3,0
4365319,Josh,Newton,Josh Newton,Josh Newton,190,72,CB,7,0,26,33,1
4365575,Tim,Lowery,Tim Lowery,Tim Lowery,175,72,DB,1,0,16,28,1
4365885,Carlton,Johnson,Carlton Johnson,Carlton Johnson,165,72,CB,7,0,38,53,4
4365933,Da'Von,Frazier,Da'Von Frazier,Da'Von Frazier,204,73,DB,2,0,1,3,0
4365968,Malachi,Buckner,Malachi Buckner,Malachi Buckner,210,73,DB,2,0,27,42,1
4366094,Markeith,Montgomery,Markeith Montgomery,Markeith Montgomery,190,70,DB,2,0,30,46,2
4366189,Marque,Collins,Marque Collins,Marque Collins,175,72,CB,1,0,1,2,0
4366194,Naseme,Colvin,Naseme Colvin,Naseme Colvin,200,73,S,1,0,35,70,1
4366280,Eddie,Morales III,Eddie Morales III,Eddie Morales III,180,69,DB,4,0,22,27,4
4366630,Que,Reid,Que Reid,Que Reid,201,72,S,2,0,14,27,0
4366635,Chris,Chukwuneke,Chris Chukwuneke,Chris Chukwuneke,193,71,S,3,1.5,16,36,1
4366643,Francis,Meehan,Francis Meehan,Francis Meehan,195,71,S,4,0,24,45,3
4366758,Amonte,Strothers,Amonte Strothers,Amonte Strothers,195,73,CB,0,0,9,12,0
4366860,Mari,Wingard,Mari Wingard,Mari Wingard,185,72,DB,0,0,2,2,0
4366970,Derek,Thompson,Derek Thompson,Derek Thompson,194,71,S,0,0,7,10,0
4366971,Joe,Eichman,Joe Eichman,Joe Eichman,205,73,S,1,0.5,26,41,3
4366972,Max,Oxendine,Max Oxendine,Max Oxendine,192,72,S,2,0,7,18,2
4367066,Gregory,Young II,Gregory Young II,Gregory Young II,170,71,DB,0,0,3,4,0
4367068,Quenton,Porter,Quenton Porter,Quenton Porter,215,72,DB,6,0,23,32,1
4367101,Robert,Javier,Robert Javier,Robert Javier,195,73,DB,7,0,21,29,4
4367102,Jamal,Gay,Jamal Gay,Jamal Gay,200,73,LB,1,0.5,34,67,1
4367102,Jamal,Gay,Jamal Gay,Jamal Gay,200,73,LB,1,0.5,34,67,1
4367155,Clayton,Perrin,Clayton Perrin,Clayton Perrin,195,73,DB,4,1,21,27,1
4367176,Rayshad,Williams,Rayshad Williams,Rayshad Williams,215,75,DB,6,0,16,19,0
4367181,Alex,Johnson,Alex Johnson,Alex Johnson,190,73,DB,3,0,20,29,4
4367185,Kenny,Churchwell III,Kenny Churchwell III,Kenny Churchwell III,205,74,DB,2,0,29,43,1
4367187,Martell,Irby,Martell Irby,Martell Irby,200,69,DB,2,0,14,25,0
4367188,Patrick,Jolly,Patrick Jolly,Patrick Jolly,185,74,DB,6,0,24,30,4
4367326,Aaron,Banks,Aaron Banks,Aaron Banks,180,71,DB,6,0,42,57,3
4367330,Tyrek,Funderburk,Tyrek Funderburk,Tyrek Funderburk,185,72,CB,8,0.5,27,46,4
4367474,Collin,Heard,Collin Heard,Collin Heard,180,70,DB,0,0,9,16,0
4367504,Jordan,Colbert,Jordan Colbert,Jordan Colbert,215,75,S,3,0.5,28,41,2
4367631,Demetrius,Harris,Demetrius Harris,Demetrius Harris,191,74,S,2,0,9,14,0
4367693,Robert,Crockett III,Robert Crockett III,Robert Crockett III,155,69,DB,3,0,17,18,3
