athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,kicking_extra_point_attempts,kicking_extra_points_made,kicking_field_goal_attempts,kicking_field_goals_made,kicking_long_field_goal_made,kicking_field_goal_attempts40_49,kicking_field_goal_attempts50_59,kicking_field_goal_attempts60_99,kicking_field_goals_made40_49,kicking_field_goals_made50_59,kicking_field_goals_made60_99
4693226,Alen,Karajic,Alen Karajic,Alen Karajic,220,77,PK,43,42,20,14,43,7,1,0,4,0,0
4693914,John,Opalko,John Opalko,John Opalko,175,70,PK,51,49,16,11,0,0,0,0,0,0,0
4694054,Ethan,Gettman,Ethan Gettman,Ethan Gettman,190,76,PK,40,38,19,9,0,0,0,0,0,0,0
4694238,Jacob,Jaworski,Jacob Jaworski,Jacob Jaworski,190,70,PK,31,29,12,8,0,0,0,0,0,0,0
4694238,Jacob,Jaworski,Jacob Jaworski,Jacob Jaworski,190,70,PK,31,29,12,8,0,0,0,0,0,0,0
4694238,Jacob,Jaworski,Jacob Jaworski,Jacob Jaworski,190,70,PK,31,29,12,8,0,0,0,0,0,0,0
4694238,Jacob,Jaworski,Jacob Jaworski,Jacob Jaworski,190,70,PK,31,29,12,8,0,0,0,0,0,0,0
4694238,Jacob,Jaworski,Jacob Jaworski,Jacob Jaworski,190,70,PK,31,29,12,8,0,0,0,0,0,0,0
4694399,Jackson,Kennedy,Jackson Kennedy,Jackson Kennedy,179,71,PK,17,16,19,14,0,0,0,0,0,0,0
4694399,Jackson,Kennedy,Jackson Kennedy,Jackson Kennedy,179,71,PK,17,16,19,14,0,0,0,0,0,0,0
4694399,Jackson,Kennedy,Jackson Kennedy,Jackson Kennedy,179,71,PK,17,16,19,14,0,0,0,0,0,0,0
4694860,Shane,Dunning,Shane Dunning,Shane Dunning,175,72,PK,22,21,19,16,0,0,0,0,0,0,0
4694944,Keegan,Vaughan,Keegan Vaughan,Keegan Vaughan,165,71,PK,26,23,18,15,0,0,0,0,0,0,0
4694944,Keegan,Vaughan,Keegan Vaughan,Keegan Vaughan,165,71,PK,26,23,18,15,0,0,0,0,0,0,0
4695015,Hayden,Olsen,Hayden Olsen,Hayden Olsen,161,69,PK,24,24,11,7,0,0,0,0,0,0,0
4695072,James,Lowery,James Lowery,James Lowery,210,70,PK,30,28,15,12,0,0,0,0,0,0,0
4695186,Jackson,Cleaver,Jackson Cleaver,Jackson Cleaver,200,74,P,0,0,3,3,0,0,0,0,0,0,0
4695273,Axel,Lepvreau,Axel Lepvreau,Axel Lepvreau,188,69,PK,21,20,2,1,0,0,0,0,0,0,0
4695273,Axel,Lepvreau,Axel Lepvreau,Axel Lepvreau,188,69,PK,21,20,2,1,0,0,0,0,0,0,0
4695399,Hunter,Dustman,Hunter Dustman,Hunter Dustman,230,75,PK,60,58,21,16,0,0,0,0,0,0,0
4695399,Hunter,Dustman,Hunter Dustman,Hunter Dustman,230,75,PK,60,58,21,16,0,0,0,0,0,0,0
4695399,Hunter,Dustman,Hunter Dustman,Hunter Dustman,230,75,PK,60,58,21,16,0,0,0,0,0,0,0
4695749,Cali,Canaval,Cali Canaval,Cali Canaval,190,73,PK,40,35,9,7,0,0,0,0,0,0,0
4695966,Seth,Morgan,Seth Morgan,Seth Morgan,160,71,PK,14,14,5,3,47,2,1,0,2,0,0
4695966,Seth,Morgan,Seth Morgan,Seth Morgan,160,71,PK,14,14,5,3,47,2,1,0,2,0,0
4696033,Dante,Jackson,Dante Jackson,Dante Jackson,205,69,PK,3,3,3,2,25,0,0,0,0,0,0
4696033,Dante,Jackson,Dante Jackson,Dante Jackson,205,69,PK,3,3,3,2,25,0,0,0,0,0,0
4696160,Sam,Renzi,Sam Renzi,Sam Renzi,180,72,PK,15,15,20,14,0,0,0,0,0,0,0
4696308,Graham,Gotlieb,Graham Gotlieb,Graham Gotlieb,165,71,PK,29,27,17,14,0,0,0,0,0,0,0
4696308,Graham,Gotlieb,Graham Gotlieb,Graham Gotlieb,165,71,PK,29,27,17,14,0,0,0,0,0,0,0
4696308,Graham,Gotlieb,Graham Gotlieb,Graham Gotlieb,165,71,PK,29,27,17,14,0,0,0,0,0,0,0
4696727,RJ,Lopez,RJ Lopez,RJ Lopez,190,71,PK,32,31,11,6,47,4,0,0,1,0,0
4696727,RJ,Lopez,RJ Lopez,RJ Lopez,190,71,PK,32,31,11,6,47,4,0,0,1,0,0
4697745,Tyler,Loop,Tyler Loop,Tyler Loop,190,73,PK,50,50,21,16,52,3,4,0,1,2,0
4698102,Valentino,Ambrosio,Valentino Ambrosio,Valentino Ambrosio,175,69,PK,40,40,24,19,47,8,0,0,6,0,0
4698269,Richard,Abood II,Richard Abood II,Richard Abood II,162,68,PK,14,14,5,2,0,0,0,0,0,0,0
4698317,Chase,Gardi,Chase Gardi,Chase Gardi,193,74,PK,24,22,6,5,0,0,0,0,0,0,0
4699353,Cole,Becker,Cole Becker,Cole Becker,232,75,PK,27,27,18,15,51,2,2,0,2,1,0
4699768,Jonah,Dalmas,Jonah Dalmas,Jonah Dalmas,180,68,PK,48,47,24,21,56,6,5,0,6,4,0
4699803,John,Hoyland,John Hoyland,John Hoyland,196,70,PK,38,37,17,10,56,3,6,0,0,2,0
4700254,Jake,Baumgarte,Jake Baumgarte,Jake Baumgarte,184,72,PK,35,35,9,3,0,0,0,0,0,0,0
4700254,Jake,Baumgarte,Jake Baumgarte,Jake Baumgarte,184,72,PK,35,35,9,3,0,0,0,0,0,0,0
4700254,Jake,Baumgarte,Jake Baumgarte,Jake Baumgarte,184,72,PK,35,35,9,3,0,0,0,0,0,0,0
4700254,Jake,Baumgarte,Jake Baumgarte,Jake Baumgarte,184,72,PK,35,35,9,3,0,0,0,0,0,0,0
4700254,Jake,Baumgarte,Jake Baumgarte,Jake Baumgarte,184,72,PK,35,35,9,3,0,0,0,0,0,0,0
4700254,Jake,Baumgarte,Jake Baumgarte,Jake Baumgarte,184,72,PK,35,35,9,3,0,0,0,0,0,0,0
4708051,Carter,Brown,Carter Brown,Carter Brown,205,72,PK,30,30,19,15,54,5,1,0,4,1,0
4708843,Colby,Sessums,Colby Sessums,Colby Sessums,185,73,PK,28,27,14,11,53,3,3,0,1,2,0
4708850,Chris,Tennant,Chris Tennant,Chris Tennant,222,77,PK,53,52,14,11,51,5,1,0,4,1,0
4708850,Chris,Tennant,Chris Tennant,Chris Tennant,222,77,PK,53,52,14,11,51,5,1,0,4,1,0
4708850,Chris,Tennant,Chris Tennant,Chris Tennant,222,77,PK,53,52,14,11,51,5,1,0,4,1,0
4713236,Michael,Coney,Michael Coney,Michael Coney,195,73,PK,24,24,15,10,0,0,0,0,0,0,0
4715374,Adrian,Guzman,Adrian Guzman,Adrian Guzman,200,72,PK,45,45,18,13,0,0,0,0,0,0,0
4733236,Kyle,Thompson,Kyle Thompson,Kyle Thompson,205,72,PK,32,32,19,13,0,0,0,0,0,0,0
4749424,Brian,Bruzdewicz,Brian Bruzdewicz,Brian Bruzdewicz,180,73,PK,42,40,11,7,0,0,0,0,0,0,0
4766559,Lliam,Davis,Lliam Davis,Lliam Davis,190,68,PK,34,34,14,10,0,0,0,0,0,0,0
