athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_passes_defended
4374280,Edefuan,Ulofoshio,Edefuan Ulofoshio,Edefuan Ulofoshio,236,73,LB,1,3,53,83,2
4374307,Eli'jah,Winston,Eli'jah Winston,Eli'jah Winston,240,75,LB,0,1,6,17,1
4374359,Nikia,Eason Jr.,Nikia Eason Jr.,Nikia Eason Jr.,225,76,LB,0,4,15,26,2
4376230,Walter,Yates III,Walter Yates III,Walter Yates III,219,73,LB,0,0,46,78,2
4376274,Greg,Benton Jr.,Greg Benton Jr.,Greg Benton Jr.,230,73,LB,2,1,28,60,1
4379871,Terrance,Ganyi,Terrance Ganyi,Terrance Ganyi,203,74,LB,0,0,6,10,0
4380352,Josh,Carr Jr.,Josh Carr Jr.,Josh Carr Jr.,240,76,LB,2,1,17,35,1
4380504,Nick,Apsey,Nick Apsey,Nick Apsey,225,73,LB,0,0,7,17,0
4382469,Chase,Kline,Chase Kline,Chase Kline,236,75,LB,2,2,44,125,3
4382471,Jeslord,Boateng,Jeslord Boateng,Jeslord Boateng,228,74,LB,0,1,31,93,1
4382825,Tre,Thomas,Tre Thomas,Tre Thomas,220,73,LB,0,1,35,77,1
4382826,Brock,Mogensen,Brock Mogensen,Brock Mogensen,235,74,LB,0,0,51,89,0
4383198,Brian,Horn,Brian Horn,Brian Horn,195,73,LB,0,0.5,20,38,0
4383439,Donovan,Manuel,Donovan Manuel,Donovan Manuel,230,73,LB,5,0.5,68,121,3
4383523,Isaac,Peppers,Isaac Peppers,Isaac Peppers,215,72,LB,2,5,25,52,1
4383754,Cole,Pearce,Cole Pearce,Cole Pearce,222,73,LB,2,3,45,78,2
4384550,BJ,Davis,BJ Davis,BJ Davis,219,75,LB,2,0,30,59,7
4385425,Ryan,Batsch,Ryan Batsch,Ryan Batsch,224,75,LB,1,1,8,19,0
4387406,Tyler,Matheny,Tyler Matheny,Tyler Matheny,230,73,LB,0,1,8,18,0
4391551,Trevor,Williams,Trevor Williams,Trevor Williams,210,69,LB,1,1.5,85,135,0
4408845,Myles,Taylor,Myles Taylor,Myles Taylor,214,73,LB,0,0.5,18,28,5
4426353,Mase,Funa,Mase Funa,Mase Funa,270,75,LB,1,1,8,18,0
4426373,Marcel,Brooks,Marcel Brooks,Marcel Brooks,215,74,LB,0,0,4,7,0
4426382,Makiya,Tongue,Makiya Tongue,Makiya Tongue,223,74,LB,1,0,2,6,0
4426387,Rian,Davis,Rian Davis,Rian Davis,230,74,LB,0,0,7,14,0
4426396,Brendan,Gant,Brendan Gant,Brendan Gant,200,74,LB,0,0,2,3,0
4426398,David,Gbenda,David Gbenda,David Gbenda,225,72,LB,0,1.5,22,49,2
4426415,Shammond,Cooper,Shammond Cooper,Shammond Cooper,220,74,LB,1,2,17,44,0
4426433,Ositadinma,Ekwonu,Ositadinma Ekwonu,Ositadinma Ekwonu,235,74,LB,0,0,1,4,0
4426471,Keontra,Smith,Keontra Smith,Keontra Smith,225,71,LB,0,0,2,8,0
4426482,Steele,Chambers,Steele Chambers,Steele Chambers,232,73,LB,0,0,36,75,1
4426505,LaVonta,Bentley,LaVonta Bentley,LaVonta Bentley,230,72,LB,0,5,40,69,2
4426511,Nick,Henrich,Nick Henrich,Nick Henrich,235,75,LB,0,2,20,42,1
4426522,Isaiah,Abdullah,Isaiah Abdullah,Isaiah Abdullah,220,75,LB,0,0,0,2,0
4426541,Josh,Ahern,Josh Ahern,Josh Ahern,236,75,LB,0,0,18,32,2
4426564,Darren,Anders,Darren Anders,Darren Anders,225,72,LB,2,4.5,42,83,2
4426569,J'Coryan,Anderson,J'Coryan Anderson,J'Coryan Anderson,237,74,LB,0,1,12,29,0
4426571,Cortez,Andrews,Cortez Andrews,Cortez Andrews,245,73,LB,0,0,6,21,0
4426577,Blake,Antzoulatos,Blake Antzoulatos,Blake Antzoulatos,225,74,LB,0,0,5,14,0
4426577,Blake,Antzoulatos,Blake Antzoulatos,Blake Antzoulatos,225,74,LB,0,0,5,14,0
4426646,Jared,Bartlett,Jared Bartlett,Jared Bartlett,238,74,LB,0,3.5,26,43,1
4426677,Trezmen,Marshall,Trezmen Marshall,Trezmen Marshall,236,73,LB,0,2.5,27,55,0
4426682,Prince,Bemah,Prince Bemah,Prince Bemah,225,74,LB,0,1.5,16,48,0
4426698,Tatum,Bethune,Tatum Bethune,Tatum Bethune,230,73,LB,0,0,33,71,3
4426739,Boone,Bonnema,Boone Bonnema,Boone Bonnema,235,75,LB,0,2.5,9,18,0
4426796,Tre,Brown,Tre Brown,Tre Brown,245,74,LB,0,0.5,29,53,1
4426801,KeSean,Brown,KeSean Brown,KeSean Brown,221,73,LB,0,2,12,36,0
4426803,Tyreke,Brown,Tyreke Brown,Tyreke Brown,220,73,LB,2,1.5,26,47,2
4426808,Tavian,Brown,Tavian Brown,Tavian Brown,235,73,LB,0,0,3,5,0
4426836,Jett,Bush,Jett Bush,Jett Bush,242,74,LB,0,2,8,17,1
4427012,Raymond,Cutts,Raymond Cutts,Raymond Cutts,243,75,LB,0,1.5,6,19,0
4427017,Levani,Damuni,Levani Damuni,Levani Damuni,241,74,LB,0,0,38,75,0
4427079,Lance,Dixon,Lance Dixon,Lance Dixon,223,74,LB,0,0,11,14,1
4427085,Jacob,Dobbs,Jacob Dobbs,Jacob Dobbs,237,72,LB,2,5,64,122,0
4427149,Nalu,Emerson,Nalu Emerson,Nalu Emerson,215,73,LB,1,1,21,29,0
4427153,Michael,Erhart,Michael Erhart,Michael Erhart,227,72,LB,0,0,0,2,0
4427156,Cornelius,Evans,Cornelius Evans,Cornelius Evans,245,76,LB,0,0,5,10,0
4427181,Josh,Ferguson,Josh Ferguson,Josh Ferguson,220,72,LB,1,1,22,54,1
4427219,Drew,Fowler,Drew Fowler,Drew Fowler,222,73,LB,0,0,11,16,0
4427219,Drew,Fowler,Drew Fowler,Drew Fowler,222,73,LB,0,0,11,16,0
4427247,Kendre',Gant,Kendre' Gant,Kendre' Gant,222,76,LB,3,6,37,64,3
4427265,Easton,Gibbs,Easton Gibbs,Easton Gibbs,230,74,LB,2,2,46,106,4
4427270,Nick,Giacolone,Nick Giacolone,Nick Giacolone,225,75,LB,1,0,29,54,1
4427270,Nick,Giacolone,Nick Giacolone,Nick Giacolone,225,75,LB,1,0,29,54,1
4427288,Kevon,Glenn,Kevon Glenn,Kevon Glenn,248,72,LB,0,0,3,4,0
4427291,Kalen,DeLoach,Kalen DeLoach,Kalen DeLoach,212,73,LB,2,7,32,66,2
4427294,Ralen,Goforth,Ralen Goforth,Ralen Goforth,237,74,LB,0,0,18,35,2
4427371,Marvin,Ham II,Marvin Ham II,Marvin Ham II,225,73,LB,0,1,24,36,1
4427394,Devee,Harris,Devee Harris,Devee Harris,235,74,LB,0,0,5,14,0
4427405,Raquon,Hartley,Raquon Hartley,Raquon Hartley,192,73,LB,0,0,26,38,0
4427435,Daniel,Heimuli,Daniel Heimuli,Daniel Heimuli,230,72,LB,0,0,4,15,0
4427469,Kane,Patterson,Kane Patterson,Kane Patterson,221,73,LB,0,2,18,43,1
4427479,Jamal,Hill,Jamal Hill,Jamal Hill,226,72,LB,2,2,12,28,2
4427532,Eugene,Asante,Eugene Asante,Eugene Asante,222,73,LB,0,5,54,84,1
4427544,Ke'Shun,Brown,Ke'Shun Brown,Ke'Shun Brown,235,73,LB,0,0,9,13,0
4427573,Khadry,Jackson,Khadry Jackson,Khadry Jackson,230,73,LB,2,1,26,50,2
4427588,Jeremiah,Jean-Baptiste,Jeremiah Jean-Baptiste,Jeremiah Jean-Baptiste,230,74,LB,0,0.5,21,51,1
4427602,Myles,Jernigan,Myles Jernigan,Myles Jernigan,235,75,LB,2,1,12,23,1
4427707,JT,Killen,JT Killen,JT Killen,230,75,LB,0,0,22,65,2
4427716,Jack,Kiser,Jack Kiser,Jack Kiser,223,73,LB,1,1,40,59,1
4427729,Demetrius,Knight II,Demetrius Knight II,Demetrius Knight II,247,74,LB,0,1.5,44,96,4
4427744,Lee,Kpogba,Lee Kpogba,Lee Kpogba,234,73,LB,1,3,39,85,1
4427775,Tarian,Lee Jr.,Tarian Lee Jr.,Tarian Lee Jr.,240,74,LB,0,0,18,30,1
4427782,Andrew,Leak,Andrew Leak,Andrew Leak,215,72,LB,0,0,0,2,0
4427813,Desmond,Little,Desmond Little,Desmond Little,235,78,LB,1,5.5,15,29,2
4427814,Steve,Linton,Steve Linton,Steve Linton,235,77,LB,2,3,13,22,0
4427816,Marist,Liufau,Marist Liufau,Marist Liufau,235,74,LB,1,3,23,44,1
4427876,Khairi,Manns,Khairi Manns,Khairi Manns,230,75,LB,0,1,6,9,0
4427883,Oleh,Manzyk,Oleh Manzyk,Oleh Manzyk,233,73,LB,0,0.5,12,22,0
4427922,Tyrique,Matthews,Tyrique Matthews,Tyrique Matthews,235,71,LB,0,0,11,14,0
4427922,Tyrique,Matthews,Tyrique Matthews,Tyrique Matthews,235,71,LB,0,0,11,14,0
4427950,Avi,McGary,Avi McGary,Avi McGary,195,74,LB,0,0,6,10,1
4427984,Kain,Medrano,Kain Medrano,Kain Medrano,230,75,LB,1,2,28,52,1
4427984,Kain,Medrano,Kain Medrano,Kain Medrano,230,75,LB,1,2,28,52,1
4428044,Judaea,Moon,Judaea Moon,Judaea Moon,235,72,LB,0,0,8,16,0
4428052,Myron,Morrison,Myron Morrison,Myron Morrison,225,75,LB,1,1,32,71,0
4428059,Khiry,Morrison,Khiry Morrison,Khiry Morrison,218,73,LB,0,0,6,13,1
4428065,Dane,Motley,Dane Motley,Dane Motley,221,71,LB,0,0,4,15,0
4428072,Darius,Muasau,Darius Muasau,Darius Muasau,230,73,LB,0,4,37,64,5
4428098,Eli,Neal,Eli Neal,Eli Neal,226,72,LB,0,2,30,85,2
4428117,TQ,Newsome,TQ Newsome,TQ Newsome,230,73,LB,0,0.5,9,29,0
4428125,Maema,Njongmeta,Maema Njongmeta,Maema Njongmeta,240,72,LB,0,3,27,49,1
4428132,Tuasivi,Nomura,Tuasivi Nomura,Tuasivi Nomura,231,73,LB,0,1,6,12,0
4428195,Julio,Ayamel,Julio Ayamel,Julio Ayamel,222,72,LB,0,0,1,2,0
4428204,Josh,Pearcy,Josh Pearcy,Josh Pearcy,245,74,LB,1,1,27,41,1
4428214,Jared,Pedraza,Jared Pedraza,Jared Pedraza,225,73,LB,0,0,25,50,1
4428235,A.J.,Phillips,A.J. Phillips,A.J. Phillips,225,72,LB,0,0,5,13,1
4428241,Levelle,Bailey,Levelle Bailey,Levelle Bailey,224,74,LB,2,1.5,41,72,5
4428262,Gavin,Potter,Gavin Potter,Gavin Potter,225,74,LB,0,0,11,21,0
4428281,J.P.,Purvis,J.P. Purvis,J.P. Purvis,255,73,LB,0,0,9,39,0
4428304,Garmon,Randolph,Garmon Randolph,Garmon Randolph,251,79,LB,0,0,16,23,1
4428347,Yvandy,Rigby,Yvandy Rigby,Yvandy Rigby,225,74,LB,0,0,31,68,1
4428358,Damari,Roberson,Damari Roberson,Damari Roberson,205,73,LB,1,0.5,34,68,6
4428372,Tarique,Barnes,Tarique Barnes,Tarique Barnes,230,73,LB,0,1,13,25,0
4428416,Matt,Salopek,Matt Salopek,Matt Salopek,230,73,LB,0,3,72,134,2
4428435,Khali,Saunders,Khali Saunders,Khali Saunders,233,75,LB,0,0,16,38,1
4428502,Tristan,Sinclair,Tristan Sinclair,Tristan Sinclair,221,73,LB,0,1,38,71,0
4428543,Connor,Soelle,Connor Soelle,Connor Soelle,230,73,LB,0,0,8,19,0
4428544,Garrett,Snodgrass,Garrett Snodgrass,Garrett Snodgrass,230,75,LB,0,0,2,4,0
4428548,Javon,Solomon,Javon Solomon,Javon Solomon,249,74,LB,3,16,26,51,0
4428550,Omar,Speights,Omar Speights,Omar Speights,235,73,LB,0,0,19,65,0
4428595,Cory,Stover,Cory Stover,Cory Stover,248,78,LB,0,2,12,30,0
4428726,Alphonzo,Tuputala,Alphonzo Tuputala,Alphonzo Tuputala,240,74,LB,0,1.5,33,59,0
4428752,Jordan,Veneziale,Jordan Veneziale,Jordan Veneziale,232,72,LB,1,0,31,48,0
4428762,AJ,Vongphachanh,AJ Vongphachanh,AJ Vongphachanh,235,75,LB,0,0,33,85,1
4428817,J.J.,Weaver,J.J. Weaver,J.J. Weaver,244,77,LB,1,5,33,40,2
4428829,Andre,White,Andre White,Andre White,228,75,LB,1,2.5,8,24,0
4428829,Andre,White,Andre White,Andre White,228,75,LB,1,2.5,8,24,0
