athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_sack_yards
5086966,Melkart,Abou-Jaoude,Melkart Abou-Jaoude,Melkart Abou-Jaoude,250,77,DL,0,2,8,23,8
5086979,Ishmael,Findlayter,Ishmael Findlayter,Ishmael Findlayter,233,76,DL,0,0.5,0,2,0
5087083,Christian,Ross,Christian Ross,Christian Ross,255,75,DL,0,1,19,35,8
5087084,Colin,Reynolds,Colin Reynolds,Colin Reynolds,249,76,DL,0,0.5,7,16,1
5087140,Connor,Lenz,Connor Lenz,Connor Lenz,230,74,DL,0,0,5,9,0
5087141,Alex,Reese III,Alex Reese III,Alex Reese III,290,75,DL,0,0,8,13,0
5087181,Kelton,McCaslin,Kelton McCaslin,Kelton McCaslin,235,77,DE,0,1,4,7,11
5087246,Jake,Anderson,Jake Anderson,Jake Anderson,270,77,DL,0,1,12,32,8
5087268,Jayden,Hargett,Jayden Hargett,Jayden Hargett,221,76,DL,0,0,6,9,0
5087301,Reggie,Reed Jr.,Reggie Reed Jr.,Reggie Reed Jr.,250,76,DL,0,1,4,8,0
5087323,Noah,Miles,Noah Miles,Noah Miles,250,76,DL,0,2,6,10,13
5088212,David,Fuller-Williams,David Fuller-Williams,David Fuller-Williams,235,74,DE,1,1,7,17,1
5088249,PJ,Williams,PJ Williams,PJ Williams,290,74,DT,1,0,6,13,0
5088381,Jalen,Robertson,Jalen Robertson,Jalen Robertson,240,76,DL,0,1.5,6,11,6
5088382,Shawn,Phillips,Shawn Phillips,Shawn Phillips,275,77,DL,0,0,1,2,0
5088438,Mi'Quise,Grace,Mi'Quise Grace,Mi'Quise Grace,255,76,DL,1,5.5,10,26,41
5088585,Jarra,Anderson,Jarra Anderson,Jarra Anderson,260,74,DL,0,1.5,5,10,19
5088880,Hollis,Dirstine,Hollis Dirstine,Hollis Dirstine,276,75,DL,0,1,8,11,1
5088905,Sean,Morris,Sean Morris,Sean Morris,280,75,DL,0,0.5,1,5,5
5088917,Logologo,Va'a,Logologo Va'a,Logologo Va'a,302,76,DT,0,0,5,13,0
5088939,Mackavelli,Malotumau,Mackavelli Malotumau,Mackavelli Malotumau,290,73,DL,0,1,5,11,6
5088941,Justin,Kirkland,Justin Kirkland,Justin Kirkland,346,76,NT,0,0,11,22,0
5088945,Fasito-Otai,Sagapolu,Fasito-Otai Sagapolu,Fasito-Otai Sagapolu,285,73,DL,1,0.5,18,31,2
5089178,Jamaree,Caldwell,Jamaree Caldwell,Jamaree Caldwell,325,73,DL,1,6.5,22,27,35
5089200,Jayden,Childers,Jayden Childers,Jayden Childers,230,75,DL,1,0,3,5,0
5089256,Jorel,Liverpool,Jorel Liverpool,Jorel Liverpool,240,78,DE,1,3,26,41,9
5089257,Lance,DeSorbo,Lance DeSorbo,Lance DeSorbo,270,76,DL,0,0,8,26,0
5089258,Tre,Henry,Tre Henry,Tre Henry,290,75,DL,0,0,6,15,0
5089304,Tahjae,Mullix,Tahjae Mullix,Tahjae Mullix,270,75,DL,0,0.5,7,22,5
5089305,Almarion,Bell,Almarion Bell,Almarion Bell,265,75,DL,0,1,6,9,6
5089413,Anthony,Britton,Anthony Britton,Anthony Britton,298,75,DT,0,0,2,2,0
5089576,Brandon,Smiley,Brandon Smiley,Brandon Smiley,295,74,DL,0,0.5,0,7,3
5089891,Markeis,Sykes,Markeis Sykes,Markeis Sykes,205,75,DE,0,0,1,4,0
5090100,Orin,Ormsby,Orin Ormsby,Orin Ormsby,240,76,DL,0,0,0,2,0
5090118,Michael,Thompson,Michael Thompson,Michael Thompson,300,76,DL,0,1,13,30,3
5091526,James,Smith,James Smith,James Smith,250,75,DL,0,2.5,5,11,16
5091527,Cooper,Webb,Cooper Webb,Cooper Webb,295,74,DL,0,2,10,28,10
5091729,Michael,Moore,Michael Moore,Michael Moore,240,77,DL,1,1,33,63,8
