Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Josh Reynolds,WR,Lions,,UFA,70.60%,29,"$3,000,000 ","$2,700,000 "
Dante Fowler Jr.,EDGE,Cowboys,,UFA,25.20%,30,"$3,000,000 ","$1,000,000 "
Marquise Brown,WR,Cardinals,,UFA,69.20%,27,"$2,946,835 ","$11,589,976 "
Tashaun Gipson,S,49ers,,UFA,89.40%,34,"$2,900,000 ","$2,170,000 "
Rigoberto Sanchez,P,Colts,,UFA,30.10%,30,"$2,900,000 ","$5,000,000 "
Lawrence Guy,IDL,Patriots,,SFA,45.80%,34,"$2,875,000 ","$2,075,000 "
Noah Igbinoghene,CB,Cowboys,,UFA,2.30%,25,"$2,813,551 ","$10,718,036 "
Dalton Risner,LG,Vikings,,UFA,66.50%,29,"$2,781,250 ","$2,250,000 "
Marquis Haynes,EDGE,Panthers,,UFA,13.50%,31,"$2,750,000 ","$2,035,000 "
Austin Hooper,TE,Raiders,,UFA,53.30%,30,"$2,750,000 ","$2,165,000 "
Clyde Edwards-Helaire,RB,Chiefs,,UFA,20.10%,25,"$2,705,394 ","$9,955,850 "
Sebastian Joseph-Day,IDL,49ers,,UFA,52.60%,29,"$2,700,000 ",$0 
Kareem Jackson,S,Texans,,UFA,45.90%,36,"$2,667,500 ","$152,500 "
William Gholston,IDL,Buccaneers,,UFA,21.80%,33,"$2,667,500 ","$1,317,500 "
Matt Slater,WR,Patriots,,UFA,0.00%,39,"$2,667,500 ","$2,667,500 "
Robert Tonyan,TE,Bears,,UFA,28.40%,30,"$2,650,000 ","$1,250,000 "
Andrew Van Ginkel,EDGE,Dolphins,,UFA,65.70%,29,"$2,650,000 ","$2,260,000 "
Tyler Huntley,QB,Ravens,,UFA,7.60%,26,"$2,627,000 ",$0 
Jeremy Reaves,S,Commanders,,UFA,0.00%,28,"$2,627,000 ",$0 
Myles Bryant,CB,Patriots,,UFA,74.80%,26,"$2,627,000 ",$0 
Tommy Townsend,P,Chiefs,,UFA,29.60%,28,"$2,627,000 ",$0 
Denzel Perryman,LB,Texans,,UFA,44.80%,32,"$2,600,000 ","$500,000 "
K'Waun Williams,CB,Broncos,,UFA,0.00%,33,"$2,600,000 ","$2,500,000 "
Olisaemeka Udoh,RT,Vikings,,UFA,4.00%,27,"$2,582,500 ","$2,582,500 "
Tre Herndon,CB,Jaguars,,UFA,43.30%,28,"$2,582,500 ","$2,582,500 "
Will Harris,S,Lions,,UFA,17.50%,29,"$2,582,500 ","$2,582,500 "
Sam Franklin,S,Panthers,,UFA,27.40%,28,"$2,510,000 ","$1,500,000 "
Brandon Bolden,RB,Raiders,,UFA,0.50%,34,"$2,505,000 ","$2,375,000 "
Jadeveon Clowney,EDGE,Ravens,,UFA,56.40%,31,"$2,505,000 ","$2,165,000 "
Nick Folk,K,Titans,,UFA,22.80%,40,"$2,500,000 ","$2,190,000 "
Cameron Fleming,LT,Broncos,,UFA,11.80%,32,"$2,500,000 ","$850,000 "
Tyler Matakevich,LB,Bills,,UFA,1.50%,32,"$2,500,000 ","$2,500,000 "
Montravius Adams,IDL,Steelers,,UFA,35.60%,29,"$2,500,000 ","$1,465,000 "
Mack Hollins,WR,Falcons,,UFA,30.50%,31,"$2,500,000 ","$910,000 "
Rasheem Green,EDGE,Bears,,UFA,35.90%,27,"$2,500,000 ","$850,000 "
Romeo Okwara,EDGE,Lions,,UFA,22.60%,29,"$2,500,000 ","$2,000,000 "
Jalen Mills,CB,Patriots,,UFA,39.50%,30,"$2,500,000 ","$1,000,000 "
Oren Burks,LB,49ers,,UFA,29.90%,29,"$2,500,000 ","$1,365,000 "
Clelin Ferrell,EDGE,49ers,,UFA,43.10%,27,"$2,500,000 ","$1,240,000 "
Chris Board,LB,Patriots,,SFA,0.10%,29,"$2,500,000 ","$2,600,000 "
Matt Feiler,LG,Buccaneers,,UFA,35.00%,32,"$2,500,000 ","$1,290,000 "
